song,artist,album,id,link,added_at
We Can't Be Friends,"Yndi, Dream Koala",We Can't Be Friends,0TGuICmWUyrONdF55k50d0,https://open.spotify.com/track/0TGuICmWUyrONdF55k50d0,2024-07-07T18:21:55Z
Suede,Northern Form,New Leaf,1L0C6zOpWWWrETjdwLuLGx,https://open.spotify.com/track/1L0C6zOpWWWrETjdwLuLGx,2024-07-02T15:11:50Z
Floating on Your Memories,Rhodz,Fading Horizon,57pJpA1SJFH0posVZFuaCw,https://open.spotify.com/track/57pJpA1SJFH0posVZFuaCw,2024-06-24T04:38:29Z
"Pra você, ilza - Hermeto Pascoal & Grupo","Hermeto Pascoal, Ajurinã Zwarg, Andre Marques, Fabio Pascoal, Itiberê Zwarg, Jota P","Pra você, Ilza",0KU4YgEW5oKUsz0bGEIJRW,https://open.spotify.com/track/0KU4YgEW5oKUsz0bGEIJRW,2024-06-21T06:17:27Z
Bebe,"Hermeto Pascoal, Doug deVries, James Macauley",The Monash Sessions,6vCrIKOtZTR1UphdzUtRKD,https://open.spotify.com/track/6vCrIKOtZTR1UphdzUtRKD,2024-06-20T06:39:52Z
My wing - Rave music edit,"Billx, Otyken",My wing (Rave music edit),6RBTZTDDdF6LtHRcn4Stlr,https://open.spotify.com/track/6RBTZTDDdF6LtHRcn4Stlr,2024-06-20T06:15:55Z
To Belong,"Mr FijiWiji, Exist Strategy",Lost Lost Lost,2b0gmOjYq6cMsEj2j8rBFf,https://open.spotify.com/track/2b0gmOjYq6cMsEj2j8rBFf,2024-06-17T07:25:18Z
Way Out - Emancipator Mix,"GARZA, Emancipator",Way Out (Emancipator Mix),5TeiEzgPfC5RBSeYwtZgcC,https://open.spotify.com/track/5TeiEzgPfC5RBSeYwtZgcC,2024-06-17T07:03:58Z
Poppy Seed - Boards Of Canada Remix,"Slag Boom Van Loon, Boards of Canada",So Soon,6HTB9kuH9t3cMmBRVw9Ny1,https://open.spotify.com/track/6HTB9kuH9t3cMmBRVw9Ny1,2024-06-06T05:58:51Z
Comfort Chain,Instupendo,Comfort Chain,0Db8f7uikjXxH3qHe0UKoW,https://open.spotify.com/track/0Db8f7uikjXxH3qHe0UKoW,2024-06-03T23:01:48Z
Crash Beat,Prefuse 73,Fudge Beats,4CTX8yl5UR4mmmWkOz2ZUY,https://open.spotify.com/track/4CTX8yl5UR4mmmWkOz2ZUY,2024-05-27T17:34:25Z
SOLEIL,NASAYA,SOLEIL,6x9db5MAkvNnbX9xBqrmz6,https://open.spotify.com/track/6x9db5MAkvNnbX9xBqrmz6,2024-05-07T15:25:25Z
Snow Dress,Sad Souls,Apeiron,5JdwLvJ7Ts3Q1wmn1vkbBf,https://open.spotify.com/track/5JdwLvJ7Ts3Q1wmn1vkbBf,2024-05-01T06:09:51Z
The Descent,CharlestheFirst,The Descent,459INdwzvu2vElqbndkD6x,https://open.spotify.com/track/459INdwzvu2vElqbndkD6x,2024-04-27T09:09:35Z
mysterious girlfriend pt. 1,fragile.,Q118,6qdz0jcZ4WpG2XLfFsRT4R,https://open.spotify.com/track/6qdz0jcZ4WpG2XLfFsRT4R,2024-04-27T09:00:37Z
Nepalese Bliss,The Irresistible Force,Its Tomorrow Already,3lbVEngu7UyYSCVBEls26g,https://open.spotify.com/track/3lbVEngu7UyYSCVBEls26g,2024-04-26T06:33:27Z
Figure 8,C418,Excursions,6I9Rg8xwgkp7iKuepJl6YL,https://open.spotify.com/track/6I9Rg8xwgkp7iKuepJl6YL,2024-04-17T05:47:40Z
Fireflies,Enzalla,Fireflies,1tkTmn1beJDxty20wrCkKz,https://open.spotify.com/track/1tkTmn1beJDxty20wrCkKz,2024-04-17T05:25:52Z
baxter climb,"tstewart, Machinedrum",elysian,1sfqPyzweozuYYP7Xg9d7i,https://open.spotify.com/track/1sfqPyzweozuYYP7Xg9d7i,2024-04-17T00:16:25Z
Creeper Shit,Groundislava,Book of Tech - EP,6lmPGUQnguVQ8L77ej7Ona,https://open.spotify.com/track/6lmPGUQnguVQ8L77ej7Ona,2024-04-14T10:55:30Z
Feel Flows,Slow Magic,Triangle,60tCkPVN0iR3imlyOz6ypR,https://open.spotify.com/track/60tCkPVN0iR3imlyOz6ypR,2024-04-14T10:55:24Z
The One,Electric Mantis,Braincase (Deluxe),57rD1ixBrHkbJaestcgFvx,https://open.spotify.com/track/57rD1ixBrHkbJaestcgFvx,2024-04-14T08:39:33Z
Doubtshapes,Ian William Craig,Cradle for the Wanting,7yceaM8lFUOZcjEx6io12V,https://open.spotify.com/track/7yceaM8lFUOZcjEx6io12V,2024-03-31T03:02:24Z
Brainfood,Thymes,Brainfood,6zxLgyR7UiD0VCZaETPd61,https://open.spotify.com/track/6zxLgyR7UiD0VCZaETPd61,2024-03-28T13:51:26Z
Alone (Instrumental),OBESØN,Beyond A Billion Stars,6U94idmf6eytQLLuCHEGPt,https://open.spotify.com/track/6U94idmf6eytQLLuCHEGPt,2024-03-01T03:16:34Z
Le jour du départ,MaMaMa,Je vous embrasse,3s9xG5DEbfYpv4UZTLVFdw,https://open.spotify.com/track/3s9xG5DEbfYpv4UZTLVFdw,2024-02-27T04:36:33Z
Clandestine,Ekcle,Yoja,3twvjuqvfelQMEdkgpLAc0,https://open.spotify.com/track/3twvjuqvfelQMEdkgpLAc0,2024-02-20T11:37:33Z
Driving Alone Past Roadwork at Night,Ricky Eat Acid,Three Love Songs,1ZtVInMPy1na9kShhDlSdp,https://open.spotify.com/track/1ZtVInMPy1na9kShhDlSdp,2024-02-19T05:39:54Z
Sleepy Pietro,"Machinedrum, Tigran Hamasyan",A View of U,0MoeShvEacFvWAROMIfqKz,https://open.spotify.com/track/0MoeShvEacFvWAROMIfqKz,2024-02-11T18:17:42Z
new lite,boy 2000,new lite,6ZECC9iJ9cCW2jOfKqI0g7,https://open.spotify.com/track/6ZECC9iJ9cCW2jOfKqI0g7,2024-02-11T17:29:16Z
Idea 36,"Machinedrum, Chrome Sparks",A View of U,1pMoD9jc8PQYTJWTgBPLHI,https://open.spotify.com/track/1pMoD9jc8PQYTJWTgBPLHI,2024-02-10T07:11:31Z
Fake Life,Vegyn,Only Diamonds Cut Diamonds,4JLvFWwRfdixTYF3Oqmpd9,https://open.spotify.com/track/4JLvFWwRfdixTYF3Oqmpd9,2024-02-10T06:19:58Z
Griddle Me This - Sausage,Datassette,Void Fill Product,63XX4Z7AcSVY0uNn9NQMv2,https://open.spotify.com/track/63XX4Z7AcSVY0uNn9NQMv2,2024-02-10T06:02:22Z
Alright so now we in the thrashher tee [149.502 BPM],"Vegyn, Teo Halm, Michael Uzowuru",Don't Follow Me Because I'm Lost Too!!,4Q2CrMWqPTMCrZvuMjC8wX,https://open.spotify.com/track/4Q2CrMWqPTMCrZvuMjC8wX,2024-02-10T06:02:19Z
Nuova Atlantide,Francesca Heart,Eurybia,7obbiHF6noRBSzVpJxSMkx,https://open.spotify.com/track/7obbiHF6noRBSzVpJxSMkx,2024-02-10T05:25:08Z
Nzuku,Arp,Zebra,4OfBNv905Tx1F8zxX2FEh5,https://open.spotify.com/track/4OfBNv905Tx1F8zxX2FEh5,2024-02-06T09:22:27Z
Lunamoth,Pensees,Sleepaway,0QUEBovKrbnWQizF3bdafP,https://open.spotify.com/track/0QUEBovKrbnWQizF3bdafP,2024-02-06T08:18:30Z
Zero Day,Colloboh,Zero Day,1mZ3b0o3uAuXR7boW5Kypv,https://open.spotify.com/track/1mZ3b0o3uAuXR7boW5Kypv,2024-02-06T07:49:01Z
Instalude with the Ox (feat. Lenny Reece),"J3PO, Lenny Reece",Small Plates,1zmvqhz4eUzUTH5FgfoFG1,https://open.spotify.com/track/1zmvqhz4eUzUTH5FgfoFG1,2024-02-04T07:58:55Z
Modern Catto - Win32,Varra,Varra II,16YO5PuLc5VD9DX1OWv9Ms,https://open.spotify.com/track/16YO5PuLc5VD9DX1OWv9Ms,2024-02-04T07:01:36Z
Bonopi,Enemies,Valuables,39735feLs1ozij38FxyzFm,https://open.spotify.com/track/39735feLs1ozij38FxyzFm,2024-02-04T06:59:56Z
Morning Sunrise,Stage Kids,Intra Mental,3KRHvHfEvkn4Y2ThnYb7Ij,https://open.spotify.com/track/3KRHvHfEvkn4Y2ThnYb7Ij,2024-02-04T06:52:58Z
Before Meaning Comes,Ian William Craig,A Turn of Breath - Extended,1T8YONUfkmHPqmUueSYq0V,https://open.spotify.com/track/1T8YONUfkmHPqmUueSYq0V,2024-02-01T06:42:09Z
"Oedipus Orca - Theme From ""Oedipus Orca""",James Dashow,"Oedipus Orca / Una spirale di nebbia (Original Motion Picture Soundracks From ""Oedipus Orca"" and ""Una spirale di nebbia"")",4L3V6gIlLrApJh3nCf2XLY,https://open.spotify.com/track/4L3V6gIlLrApJh3nCf2XLY,2024-02-01T06:36:44Z
